n,speaker_std_1,speaker_std_2,speaker_std_3,speaker_std_4,speaker_std_5,speaker_std_6,speaker_std_7,speaker_std_8,speaker_std_9,speaker_std_10,speaker_std_11,speaker_std_12,speaker_std_13,speaker_std_14,speaker_std_15,speaker_std_16,speaker_std_17,speaker_std_18,speaker_std_19,speaker_std_20,speaker_std_21,speaker_std_22
94,SCHUTZ,MONTESINOS,JOY WAY,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,DESCONOCIDO,MONTESINOS,LOCUTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,PEREZ,FUJIMORI,DESCONOCIDO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,DESCONOCIDO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,MONTESINOS,TUDELA,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,DESCONOCIDO,IVACHINE,CENEPO,MEZA RODRIGUEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,DESCONOCIDO,DE LOPEZ,SMITH,FLOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,DESCONOCIDO,IVACHINE,VILLAREAL,ALVARADO CABRERA,AYBAR,LOPEZ,ROMERO CASTILLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,DESCONOCIDO,MONTESINOS,MALEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,DESCONOCIDO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,DESCONOCIDO,MONTESINOS,GONZALES,VIVANCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
